"filename", "language", "PHP", "JSON", "JavaScript", "Markdown", "XML", "YAML", "Shell Script", "Makefile", "PostCSS", "comment", "blank", "total"
"d:\xampp\htdocs\mywebsite\controllers\get_posttags.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\xampp\htdocs\mywebsite\controllers\get_reading_history.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"d:\xampp\htdocs\mywebsite\controllers\get_savedposts.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\xampp\htdocs\mywebsite\controllers\get_top_tags.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"d:\xampp\htdocs\mywebsite\controllers\get_user_counts.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\xampp\htdocs\mywebsite\controllers\get_userinfo.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\xampp\htdocs\mywebsite\controllers\handle_likes.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\xampp\htdocs\mywebsite\controllers\handle_savedpost.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\xampp\htdocs\mywebsite\controllers\increment_view.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 26
"d:\xampp\htdocs\mywebsite\controllers\list_modules.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\xampp\htdocs\mywebsite\controllers\list_question.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\xampp\htdocs\mywebsite\controllers\list_tags.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\xampp\htdocs\mywebsite\controllers\list_users.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\xampp\htdocs\mywebsite\controllers\login.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"d:\xampp\htdocs\mywebsite\controllers\logout.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 23
"d:\xampp\htdocs\mywebsite\controllers\mark_all_notifications.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\xampp\htdocs\mywebsite\controllers\mark_notification.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\xampp\htdocs\mywebsite\controllers\register.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"d:\xampp\htdocs\mywebsite\controllers\render&events\admin.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 39
"d:\xampp\htdocs\mywebsite\controllers\render&events\contact.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\xampp\htdocs\mywebsite\controllers\render&events\editpost.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\xampp\htdocs\mywebsite\controllers\render&events\editprofile.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\xampp\htdocs\mywebsite\controllers\render&events\findusers.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\xampp\htdocs\mywebsite\controllers\render&events\history.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\xampp\htdocs\mywebsite\controllers\render&events\home.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\xampp\htdocs\mywebsite\controllers\render&events\login&register.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\xampp\htdocs\mywebsite\controllers\render&events\newpost.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\xampp\htdocs\mywebsite\controllers\render&events\notification.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\xampp\htdocs\mywebsite\controllers\render&events\postdetail.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\xampp\htdocs\mywebsite\controllers\render&events\profile.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"d:\xampp\htdocs\mywebsite\controllers\render&events\question.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\xampp\htdocs\mywebsite\controllers\render&events\saved.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\xampp\htdocs\mywebsite\controllers\render&events\tag.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"d:\xampp\htdocs\mywebsite\controllers\search_question.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"d:\xampp\htdocs\mywebsite\controllers\send_message.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 57
"d:\xampp\htdocs\mywebsite\controllers\server.php", "PHP", 146, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31, 184
"d:\xampp\htdocs\mywebsite\controllers\session_data.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\xampp\htdocs\mywebsite\controllers\tags_withtype.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\xampp\htdocs\mywebsite\controllers\update_darkmode.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\xampp\htdocs\mywebsite\controllers\update_tags_history.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"d:\xampp\htdocs\mywebsite\controllers\validate_register.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"d:\xampp\htdocs\mywebsite\controllers\validation.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\xampp\htdocs\mywebsite\dist\output.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 5129, 1, 1, 5131
"d:\xampp\htdocs\mywebsite\includes\configcloud.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\xampp\htdocs\mywebsite\includes\dbconnection.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
